CONTINENT,COUNTRY,GID_0,GID_1,GID_2,Class,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020,loss_2021,loss_2022
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-5181,476.570758293581,216.5129345607757,609.5916588124115,534.8710329161007,827.7014501517294,2318.5753583149417,1842.9206055717775,781.6747912925639,2385.3620993002896,463.14849066946505,1736.1817293681856,4215.350950601735,427.15849412012886,313.5674769397577,554.177437671558,33.51519097034136,870.6788988190175,227.13573865299225,443.37624316087556,35.25937743065357,335.7979844242732,568.1626769383431
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-5000,1392.544976622629,751.6016183157284,2188.4018913295586,1250.4091457377353,2603.050565234089,2437.5413944891447,2608.669770072936,1063.443944339919,1372.3611983529088,819.2939833424646,993.3445913290975,1090.1437616230962,579.455724928824,309.0528541346549,223.3795447360992,25.245388632202147,20.332568836975096,263.75005121607774,93.22294126396176,384.6200663722991,333.7185452457427,120.85379251708984
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-3100,266.3686924108505,266.1234414512793,793.2590043094157,481.14153916707824,136.19059148216246,1021.6289410444101,52.52283370046616,302.11231814111864,255.57596372170445,173.48668576483726,79.60365034133594,126.5186475466887,17.89300099673271,6.561577039527894,,,,3.990137235355377,41.15475677952766,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-2100,2766.44421056033,769.3270133586217,2283.8101286670767,1456.8162318688073,5457.538533754823,2431.860757267394,1649.4601856927954,4023.3202094849444,2261.6233368329886,1650.2743516671974,3724.6569303778156,2608.139767701125,3907.2121264991442,1089.4845370855792,279.8576894077301,260.7874307890733,83.19734224395752,346.4916198279063,907.4507005362194,,434.77288477044107,218.90414019493258
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-1300,740.608964955387,349.4052887912527,813.436910996207,382.6204931711037,1918.465243890781,802.2359140253064,807.8423001656532,608.8428699071408,571.182175199906,1284.686698538073,629.083923105367,13181.63874457308,53074.63757263243,6950.730362531289,310.74749778156274,127.86511934677759,469.35019810501024,82.96393689193725,564.2544806550025,12.876966653903324,969.7522908644197,126.07159260962801
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-100,411.10883306893663,114.31420023724078,652.8474979839929,4205.323378314972,989.2877192423757,1052.8772298397223,602.4223617206478,273.4454522954543,265.87696551485374,248.4534134863122,350.2543062353642,603.5897542315323,11.017155533599853,,,,,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,100,11.02607844982147,,58.49113313836098,98.65018497352597,,,12.876066969823835,88.87178563419977,69.64581107330321,11.973559926509855,138.28380184888837,79.15804431276321,15.5920273589611,,,,17.77250035127004,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,1300,126.05829333566028,79.91373497594198,315.15472306813984,43.077407526063915,192.8074896556663,53.64363789672851,332.89575959296224,21.299064969539636,74.58762365721066,46.99766077089309,30.929811609745023,635.8517812389294,1402.8700615395892,423.1753320125738,,,,,47.06298834195136,,156.85137781502405,41.05683013981183
South America,Uruguay,URY,URY.1_2,URY.1.1_2,2100,890.2173804330507,690.512802853926,1926.9997989847898,3088.504179147052,1427.8007010239837,1748.5899395264782,2597.5062431036154,4762.386379101586,2440.1570411182793,1737.4656010450042,2293.7360602329577,3343.187189458958,6028.016314258362,751.8644865397993,598.1766103277365,677.6853376794337,698.2845711140949,735.986420303456,1241.7307095063206,689.7872100926318,322.9391256175995,546.7897180057048
South America,Uruguay,URY,URY.1_2,URY.1.1_2,3100,665.2961261077086,238.24127483506203,3170.898625902318,2354.783692784213,1867.662200562747,2841.908330403415,367.3227663506031,1540.9702360213835,589.9982593511104,1069.1095036991198,704.1162500296194,1003.3199545092582,891.8771104062873,403.16084613101475,1419.9565947420601,1875.1549583161193,160.89244186639783,192.8413314279556,353.195229758207,29.24190989871025,39.73746875534057,40.599296616363524
South America,Uruguay,URY,URY.1_2,URY.1.1_2,3242,,,28.15543060913086,226.94228069901462,971.8880438698286,62.31240537986755,69.80276025590895,1077.7158868914605,703.3242403821945,,123.63891904115677,8.757025781345366,7.482616758060454,5.848531511831283,,18.94293293380737,,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,5000,145.18310961240132,171.04948212629157,574.6324786745388,246.505753749307,473.48197217299776,364.7710369199752,407.8041166194973,342.27397221905073,484.2632660701115,189.21467469685396,390.68845551037,758.3453675677459,135.76011118057568,103.09285836215018,,,21.7535897151947,12.401163866996761,12.99957143793106,,11.462920414543152,207.48631272234914
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-5181,,,20.53256716814041,,7.808497806835174,31.722793522262567,39.12921764593124,57.019419106912615,,19.027124780607224,76.41814789295196,103.33910980157852,,,,,,18.79800205760002,,,,
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-5000,8.981514183044432,56.87182783355713,91.0832581846714,24.029354120254514,,18.890276516151424,559.752840528488,95.5845357471466,105.59897007756231,34.99895987439156,528.1658303574561,72.29896463222502,10.137658746337888,,12.461974980258939,,,61.531313112449645,,,,
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-3100,,,18.867663559484484,,,126.48339404678342,,,9.084361079978942,,,,,,,,,,,,,
