CONTINENT,COUNTRY,GID_0,GID_1,GID_2,Class,loss_2001,loss_2002,loss_2003,loss_2004,loss_2005,loss_2006,loss_2007,loss_2008,loss_2009,loss_2010,loss_2011,loss_2012,loss_2013,loss_2014,loss_2015,loss_2016,loss_2017,loss_2018,loss_2019,loss_2020,loss_2021,loss_2022
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-5181,23.92721877859464,3.370016791084365,63.8301483745661,37.00380495002605,82.6292831051048,494.26355303257094,283.6369805131153,94.49409297991193,271.5855426708258,25.105613799475574,158.34700979834858,355.5623583312839,28.015198728912843,47.88561913180604,28.58436662643883,0.0,173.4387253636695,25.72331440178871,53.31825204537336,0.0,29.46461391201066,0.0
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-5000,106.03369742022642,16.147078704555366,279.7066064489732,73.29626168661046,149.47001666430305,478.86323919650886,403.2380763783902,8.896996735241498,95.17743418342795,58.57282681713252,59.41020234741844,45.75535652157076,5.467145688045349,44.061757040807464,9.445683010613214,5.610103141081336,3.984537873883404,0.0,11.886689334864283,21.05931696195976,5.54499773883883,25.82936941439288
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-3100,18.74609655025471,0.0,43.6922206681014,8.146200436539894,4.313656718887758,102.21389095098922,4.267256732212724,2.5925539407360945,0.0,7.569837955467673,5.627642254385548,13.6038442871324,1.243688923573046,1.5271760115912263,,,,1.2772743883437772,5.3481558741765305,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-2100,396.59955199924303,55.0969956015296,232.9994841952963,85.27163396612627,198.25024036015668,155.01095634741796,132.77523731948733,207.1822489210806,172.4981155125055,116.16563405163059,226.40151142595437,216.52679099982035,838.1173894681392,200.17072297837916,35.31668107742929,22.570169726451677,2.359661040075764,52.98570146745601,141.49269612791196,,87.43337521483902,22.149357620486512
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-1300,95.03698854057575,55.29459667800353,116.23398699826686,46.220940531522494,284.8472071701832,134.2240586536226,106.88471252852347,95.38250360348809,85.5197129514322,222.33764062389673,116.28311972611208,1798.718095797503,11224.353122336519,1235.4000658743284,58.999486612326905,17.60023547667076,94.75425958350493,2.5887408667962313,31.416749912810097,0.0,125.17523205048572,0.0
South America,Uruguay,URY,URY.1_2,URY.1.1_2,-100,67.46705504628918,3.248415310326367,42.27146643977292,268.824908517491,113.26808609909234,59.62346760016807,57.04333745339338,12.619918396182568,31.3519712279833,49.39241534929033,44.490442856103606,41.50659452182834,2.2523690248904313,,,,,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,100,0.0,,15.711901525128747,13.675442211946871,,,0.0,10.250769826095787,5.107848040360336,2.9276547697057658,2.737571219852886,11.695430305425248,2.0723200176351138,,,,2.9341111070747274,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,1300,30.664652028244546,15.106058409835152,65.06139065340096,2.9643308600917653,23.93342963651197,2.322231853878477,58.753108339309065,6.140922111333422,11.66953507215751,4.664614930438192,11.737638614702156,94.7830783198587,315.0611418372941,66.98149031759236,,,,,6.405445049106983,,13.215885342629967,0.0
South America,Uruguay,URY,URY.1_2,URY.1.1_2,2100,67.40377374270408,11.559953563238366,194.1247832807822,472.30761148693523,120.0040058098163,133.64082574036715,319.2897825902346,346.36877762079484,256.7824396646015,207.178104190443,272.8983084861183,469.5211597446419,1326.0190575720833,148.80939203911015,60.0223302754076,109.13958302263069,68.84011053175107,77.27032542492223,142.5847569543752,62.99851033449819,73.97226712873987,68.16922937774416
South America,Uruguay,URY,URY.1_2,URY.1.1_2,3100,41.86884565343513,5.5080522149667495,681.2441612338437,454.0748818735092,383.5370289931286,536.3507202633966,51.390222476216024,273.0836290803879,56.29759662749612,253.2334551408695,33.6744843140486,155.09462279096164,118.47524165551667,79.88570658245432,256.8676231359175,384.36042320878283,36.29950701303959,38.19970860434397,65.33951963172979,2.8528431256224094,8.5966376585096,0.0
South America,Uruguay,URY,URY.1_2,URY.1.1_2,3242,,,0.0,75.12611594553638,299.07039200026605,9.757676660995251,16.68795038833515,114.04530895695507,0.0,,0.0,2.4925007497461307,1.669159587554042,1.61591177322929,,3.3928869814003857,,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.1_2,5000,4.029366746054687,11.515767156569323,79.29776687231887,14.020047438387977,52.30890898100628,75.81188721528976,56.08934238314322,41.63771885555148,88.51118154464069,19.875402433445167,35.769314857846815,79.70171224816637,8.097534782734616,9.883947431064769,,,4.571851098642631,0.0,0.0,,0.0,8.801888879978177
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-5181,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-5000,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-3100,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-2100,0.0,0.0,0.0,4.799162454042662,3.292044496530174,15.728634524312566,0.0,1.2099035786319268,0.0,0.0,16.45296550316162,0.0,0.0,0.0,0.0,,0.0,,,,,
South America,Uruguay,URY,URY.1_2,URY.1.2_2,-1300,0.0,2.873918625440256,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.104679441312238,5.2961253992585995,5.357597299993802,,,,,,,,
